age,c_charge_degree,race,sex,priors_count,days_b_screening_arrest,jail_length_days,out,class
22,Felony,African-American,Male,13,-1.0,0,1,1
35,Felony,African-American,Male,23,-1.0,1,1,1
28,Felony,African-American,Male,11,-1.0,26,1,0
24,Felony,African-American,Male,1,-1.0,1,0,0
32,Felony,African-American,Male,24,-1.0,2,1,1
24,Felony,African-American,Female,1,-1.0,0,1,0
57,Felony,African-American,Male,19,-1.0,1,0,0
21,Misdemeanor,Other,Male,0,-1.0,0,1,0
28,Felony,Caucasian,Male,0,0.0,-1,0,0
51,Misdemeanor,Caucasian,Male,0,0.0,91,0,0
26,Misdemeanor,African-American,Male,0,-1.0,0,0,1
20,Felony,African-American,Male,0,-1.0,1,1,1
25,Misdemeanor,African-American,Male,6,-1.0,32,1,0
19,Misdemeanor,Caucasian,Male,0,-1.0,2,1,1
49,Felony,Caucasian,Male,1,-1.0,20,0,1
57,Misdemeanor,African-American,Male,27,-9.0,9,1,0
27,Misdemeanor,African-American,Female,0,0.0,0,0,0
66,Misdemeanor,Caucasian,Male,1,-1.0,19,0,0
21,Felony,Caucasian,Male,0,0.0,0,0,0
45,Felony,Caucasian,Male,1,0.0,-1,0,0
37,Felony,African-American,Male,24,-1.0,19,1,0
44,Felony,Caucasian,Male,13,0.0,16,1,1
64,Felony,African-American,Male,0,-1.0,4,0,0
30,Felony,African-American,Male,1,-1.0,0,1,1
61,Misdemeanor,African-American,Male,1,-1.0,2,0,0
49,Felony,Caucasian,Female,8,-10.0,8,0,0
23,Felony,African-American,Male,0,0.0,0,1,0
21,Felony,Caucasian,Male,0,-2.0,0,1,1
30,Felony,Caucasian,Female,2,-1.0,43,1,1
26,Misdemeanor,Hispanic,Male,7,0.0,1,0,0
35,Misdemeanor,Other,Male,3,-1.0,1,0,1
27,Misdemeanor,African-American,Male,2,-1.0,1,1,1
38,Misdemeanor,Caucasian,Male,1,0.0,14,1,0
48,Felony,African-American,Male,14,23.0,142,1,1
26,Misdemeanor,Caucasian,Male,0,-1.0,0,0,0
24,Felony,African-American,Male,4,-27.0,26,1,1
28,Felony,African-American,Female,2,0.0,0,1,1
44,Felony,Caucasian,Female,4,0.0,5,1,1
23,Felony,Caucasian,Male,2,0.0,13,1,1
34,Felony,Caucasian,Female,1,-1.0,12,1,1
20,Felony,Caucasian,Male,1,-1.0,1,1,1
63,Felony,Other,Male,23,-1.0,2,0,1
36,Misdemeanor,African-American,Female,0,0.0,0,0,0
58,Felony,Caucasian,Male,1,-1.0,79,0,0
35,Felony,Caucasian,Female,4,-30.0,13,0,0
23,Felony,African-American,Male,3,-1.0,1,1,0
40,Felony,Caucasian,Male,1,-21.0,21,0,0
31,Felony,Hispanic,Male,3,-1.0,0,0,0
34,Felony,Hispanic,Female,5,0.0,1,0,0
23,Misdemeanor,African-American,Male,3,-1.0,13,1,1
27,Misdemeanor,Caucasian,Male,0,-5.0,4,0,1
26,Felony,African-American,Female,3,-27.0,27,1,0
49,Felony,African-American,Male,1,0.0,24,0,0
47,Misdemeanor,Hispanic,Female,0,0.0,1,0,0
47,Felony,African-American,Male,6,0.0,5,0,0
34,Felony,African-American,Male,7,0.0,0,1,1
27,Felony,African-American,Male,10,-1.0,7,1,0
52,Misdemeanor,Caucasian,Female,0,0.0,0,0,0
26,Misdemeanor,African-American,Male,0,-3.0,0,0,1
25,Felony,African-American,Male,9,0.0,2,1,0
51,Felony,African-American,Male,1,-1.0,162,0,0
29,Misdemeanor,African-American,Female,1,0.0,-1,0,1
46,Felony,Caucasian,Male,0,-1.0,0,0,0
28,Felony,Caucasian,Male,6,-2.0,2,0,0
57,Felony,African-American,Male,0,-1.0,1,0,0
23,Felony,Hispanic,Male,2,-1.0,0,1,0
34,Felony,African-American,Male,27,-1.0,118,1,1
27,Felony,African-American,Male,3,-1.0,12,0,0
25,Misdemeanor,African-American,Male,7,-1.0,3,1,1
31,Felony,Caucasian,Male,1,-1.0,32,1,1
37,Felony,African-American,Male,8,-1.0,1,0,0
51,Felony,African-American,Male,0,0.0,1,0,1
28,Felony,African-American,Male,8,-1.0,40,1,1
56,Felony,Caucasian,Male,4,0.0,7,0,0
45,Felony,African-American,Male,15,-1.0,330,1,1
26,Felony,Caucasian,Male,7,-1.0,18,1,1
33,Felony,Caucasian,Male,7,-1.0,1,1,1
23,Misdemeanor,Caucasian,Male,0,-2.0,1,0,0
31,Misdemeanor,African-American,Male,0,0.0,0,0,0
31,Misdemeanor,Other,Male,0,-1.0,1,0,0
19,Felony,Hispanic,Male,1,-12.0,4,1,1
32,Felony,Caucasian,Male,0,0.0,0,0,0
30,Misdemeanor,Caucasian,Male,1,-1.0,0,0,1
66,Felony,Caucasian,Male,1,-1.0,0,0,0
40,Felony,African-American,Female,0,0.0,-1,0,0
59,Misdemeanor,African-American,Male,4,0.0,0,0,0
27,Misdemeanor,African-American,Male,3,-23.0,1,1,0
22,Felony,African-American,Male,0,-1.0,0,0,0
58,Felony,Caucasian,Male,1,-1.0,0,0,0
29,Felony,Caucasian,Male,2,-2.0,2,0,0
27,Felony,African-American,Male,0,-1.0,60,1,1
24,Felony,Caucasian,Male,0,-3.0,1,1,0
35,Felony,Caucasian,Female,3,0.0,0,0,0
29,Felony,African-American,Male,7,0.0,2,1,1
30,Felony,African-American,Male,5,-1.0,2,1,1
23,Felony,African-American,Male,1,-1.0,2,0,1
32,Felony,Caucasian,Male,2,-27.0,0,0,1
22,Felony,Caucasian,Male,2,-1.0,3,1,0
21,Misdemeanor,African-American,Male,0,-1.0,1,0,0
43,Misdemeanor,Caucasian,Female,0,-1.0,-1,0,0
29,Felony,African-American,Male,0,-1.0,2,1,0
43,Felony,African-American,Male,1,0.0,1,0,0
25,Felony,African-American,Male,1,-1.0,2,0,0
47,Misdemeanor,Caucasian,Male,0,-1.0,1,0,0
21,Felony,African-American,Female,0,-2.0,0,1,0
54,Misdemeanor,Caucasian,Male,0,0.0,-1,0,0
34,Felony,African-American,Male,3,-1.0,33,0,1
28,Misdemeanor,African-American,Female,2,-1.0,1,0,0
53,Felony,Caucasian,Female,4,-1.0,0,0,1
54,Misdemeanor,African-American,Male,0,0.0,-1,0,0
37,Felony,Hispanic,Male,3,-1.0,83,0,1
34,Felony,African-American,Male,2,-1.0,0,0,0
60,Felony,Caucasian,Female,0,-1.0,1,0,1
22,Felony,African-American,Male,0,-1.0,1,0,0
51,Felony,African-American,Male,3,0.0,-1,1,0
29,Felony,African-American,Male,0,-1.0,12,0,1
28,Misdemeanor,African-American,Male,5,-1.0,27,1,0
33,Felony,Caucasian,Male,0,-1.0,0,0,1
43,Misdemeanor,Caucasian,Male,4,0.0,2,0,0
45,Misdemeanor,Hispanic,Male,1,-1.0,26,1,0
32,Felony,Caucasian,Male,5,-1.0,65,1,1
35,Felony,African-American,Female,0,-1.0,1,0,1
23,Felony,African-American,Male,1,-1.0,1,0,1
41,Misdemeanor,Hispanic,Male,1,-1.0,113,0,0
25,Felony,Other,Male,24,-1.0,0,1,1
35,Felony,Hispanic,Male,12,-1.0,10,1,0
25,Felony,African-American,Male,4,0.0,43,1,1
69,Felony,Caucasian,Male,6,-1.0,1,0,1
24,Misdemeanor,Asian,Male,0,-1.0,1,0,0
28,Felony,Hispanic,Male,0,-1.0,0,0,0
47,Felony,African-American,Male,23,-1.0,403,1,1
29,Felony,African-American,Male,13,0.0,1,1,1
26,Felony,African-American,Male,9,-1.0,2,1,1
31,Misdemeanor,Other,Male,0,-1.0,2,0,0
28,Felony,Caucasian,Male,0,0.0,1,1,0
48,Misdemeanor,Caucasian,Male,1,0.0,0,0,1
44,Misdemeanor,Caucasian,Male,0,-1.0,0,0,0
42,Misdemeanor,African-American,Male,7,-1.0,0,1,0
39,Felony,African-American,Male,5,-1.0,4,1,0
46,Felony,Hispanic,Female,2,-1.0,3,0,0
55,Misdemeanor,Caucasian,Male,0,-1.0,10,1,0
27,Felony,African-American,Male,5,-1.0,4,1,1
31,Misdemeanor,Caucasian,Female,0,-1.0,4,1,0
25,Felony,African-American,Male,0,-1.0,0,0,0
32,Misdemeanor,Caucasian,Male,6,0.0,0,1,0
36,Felony,African-American,Male,2,-1.0,0,1,0
21,Felony,African-American,Male,3,-1.0,4,1,1
39,Misdemeanor,Caucasian,Male,2,0.0,-1,0,0
26,Misdemeanor,African-American,Female,0,0.0,-1,0,0
28,Felony,African-American,Male,8,0.0,20,1,1
67,Misdemeanor,Caucasian,Male,2,-4.0,0,0,1
22,Felony,Other,Female,0,-1.0,2,0,0
37,Misdemeanor,Caucasian,Male,3,-1.0,0,0,0
23,Misdemeanor,African-American,Male,2,-1.0,2,1,1
49,Misdemeanor,African-American,Female,14,-1.0,122,1,1
32,Misdemeanor,Caucasian,Male,9,0.0,4,1,1
41,Misdemeanor,Caucasian,Male,9,-1.0,32,1,0
25,Misdemeanor,African-American,Male,1,0.0,0,0,0
58,Misdemeanor,Caucasian,Male,0,-1.0,0,0,0
44,Misdemeanor,African-American,Male,19,-17.0,17,1,1
28,Felony,African-American,Male,1,0.0,15,0,1
39,Felony,African-American,Female,0,-1.0,2,1,1
54,Felony,Caucasian,Male,0,-1.0,6,0,0
43,Misdemeanor,Caucasian,Male,0,-1.0,0,0,0
31,Misdemeanor,African-American,Male,5,0.0,0,1,0
30,Felony,African-American,Male,11,0.0,117,1,0
27,Misdemeanor,Caucasian,Male,4,-1.0,1,0,1
28,Misdemeanor,African-American,Male,0,-1.0,1,0,1
24,Misdemeanor,African-American,Male,0,-1.0,0,1,0
43,Misdemeanor,Caucasian,Male,0,0.0,0,0,0
44,Misdemeanor,African-American,Male,10,-7.0,5,0,1
24,Felony,Hispanic,Male,11,-15.0,0,1,1
23,Felony,African-American,Male,0,-1.0,1,0,0
36,Misdemeanor,Caucasian,Male,5,-1.0,0,0,1
27,Felony,Caucasian,Male,1,-1.0,1,1,0
24,Felony,African-American,Male,0,0.0,1,1,1
66,Misdemeanor,Caucasian,Male,0,-1.0,0,0,0
36,Felony,Caucasian,Female,3,0.0,25,0,0
53,Felony,Hispanic,Male,9,-1.0,130,1,1
23,Felony,Caucasian,Male,1,0.0,0,0,1
22,Misdemeanor,African-American,Female,0,0.0,0,1,1
25,Felony,Hispanic,Male,1,-1.0,0,0,0
56,Felony,African-American,Male,4,-1.0,2,0,0
51,Felony,Asian,Male,1,-1.0,1,0,1
58,Misdemeanor,African-American,Female,3,-18.0,18,0,0
24,Misdemeanor,Caucasian,Male,3,0.0,0,1,0
22,Felony,African-American,Male,0,-1.0,71,0,1
39,Misdemeanor,Caucasian,Male,0,-1.0,0,0,0
20,Felony,Hispanic,Male,3,-1.0,42,1,1
46,Felony,Caucasian,Male,10,-1.0,73,1,1
38,Felony,Caucasian,Male,1,-27.0,0,0,1
23,Misdemeanor,Caucasian,Male,0,0.0,3,1,1
39,Felony,Other,Male,6,-1.0,26,1,0
25,Felony,African-American,Male,0,0.0,1,1,0
31,Felony,African-American,Male,19,-1.0,0,1,1
25,Misdemeanor,African-American,Female,1,-1.0,0,0,1
26,Felony,African-American,Male,6,-1.0,1,1,0
25,Felony,African-American,Male,2,-1.0,274,1,0
37,Felony,Caucasian,Male,11,0.0,1,1,1
36,Felony,African-American,Male,0,-3.0,0,0,0
26,Felony,African-American,Male,1,0.0,0,1,1
21,Felony,Other,Male,3,-1.0,0,0,1
35,Felony,African-American,Male,7,-23.0,0,0,1
22,Felony,African-American,Male,2,-1.0,1,0,1
25,Felony,Caucasian,Male,0,0.0,0,0,0
36,Misdemeanor,Hispanic,Male,0,-7.0,1,0,0
24,Misdemeanor,African-American,Male,2,-1.0,12,1,1
21,Felony,African-American,Male,0,-1.0,0,1,1
32,Felony,Caucasian,Male,15,-1.0,70,1,1
33,Misdemeanor,African-American,Male,2,0.0,-1,0,1
33,Felony,African-American,Male,10,0.0,2,1,1
29,Misdemeanor,Caucasian,Male,0,-2.0,0,0,0
50,Felony,Caucasian,Male,8,-1.0,172,0,0
33,Felony,African-American,Male,14,-1.0,2,1,1
37,Felony,African-American,Male,13,-1.0,0,1,1
27,Felony,African-American,Male,9,-1.0,24,1,1
27,Misdemeanor,African-American,Male,0,-1.0,1,0,0
21,Misdemeanor,Hispanic,Male,1,-1.0,0,1,1
58,Felony,African-American,Male,1,-1.0,60,0,0
27,Felony,African-American,Male,4,-1.0,33,1,0
28,Felony,Caucasian,Male,1,-1.0,30,1,1
31,Misdemeanor,Caucasian,Female,0,-5.0,0,0,0
24,Misdemeanor,African-American,Male,3,-1.0,6,1,0
26,Felony,African-American,Male,6,0.0,18,1,1
43,Misdemeanor,Caucasian,Male,0,-1.0,1,0,0
22,Felony,African-American,Male,3,0.0,1,1,1
23,Felony,African-American,Male,0,-1.0,3,1,0
42,Misdemeanor,Caucasian,Male,0,-1.0,0,0,0
30,Misdemeanor,African-American,Male,18,-1.0,17,1,0
29,Felony,African-American,Male,1,-1.0,290,1,0
38,Felony,Caucasian,Male,2,0.0,47,0,1
26,Misdemeanor,Caucasian,Male,3,-4.0,2,0,1
51,Misdemeanor,African-American,Male,5,0.0,4,1,0
36,Misdemeanor,Other,Male,0,0.0,-1,0,0
62,Misdemeanor,Hispanic,Male,0,-2.0,1,0,0
23,Felony,African-American,Male,0,0.0,0,0,1
34,Felony,African-American,Male,7,-1.0,0,1,1
35,Misdemeanor,African-American,Male,1,-1.0,1,0,0
22,Felony,Caucasian,Male,0,0.0,3,0,0
29,Misdemeanor,African-American,Male,10,-1.0,108,1,1
40,Felony,African-American,Male,0,-3.0,1,0,0
36,Felony,African-American,Male,2,0.0,0,0,0
26,Felony,African-American,Male,8,0.0,0,1,1
25,Felony,African-American,Male,1,-23.0,0,0,1
69,Misdemeanor,Caucasian,Male,0,-3.0,0,0,0
27,Felony,African-American,Male,1,-1.0,8,0,0
20,Felony,Caucasian,Male,0,0.0,1,1,1
27,Felony,African-American,Male,1,-2.0,2,0,0
24,Misdemeanor,African-American,Female,6,-1.0,310,1,0
42,Felony,Caucasian,Male,0,-7.0,2,0,0
25,Felony,Caucasian,Male,1,-1.0,1,0,0
25,Felony,African-American,Male,0,-1.0,7,0,0
22,Felony,African-American,Male,0,-1.0,0,0,0
21,Felony,Caucasian,Male,0,-1.0,0,0,0
30,Misdemeanor,African-American,Male,1,0.0,1,0,0
46,Misdemeanor,Caucasian,Male,9,0.0,4,1,0
26,Misdemeanor,African-American,Male,2,0.0,0,1,0
33,Felony,African-American,Male,0,0.0,0,1,1
40,Misdemeanor,African-American,Male,1,-1.0,1,0,0
34,Felony,Caucasian,Male,0,-1.0,28,0,0
22,Felony,Caucasian,Male,1,-1.0,36,0,1
28,Misdemeanor,Hispanic,Male,3,-1.0,0,1,0
31,Misdemeanor,African-American,Male,4,-1.0,1,0,1
59,Misdemeanor,Caucasian,Male,3,0.0,1,0,1
37,Felony,Native American,Male,0,-1.0,0,0,0
50,Felony,African-American,Male,0,-1.0,2,0,0
57,Felony,African-American,Male,8,-1.0,99,1,1
31,Misdemeanor,African-American,Male,5,-1.0,0,1,1
44,Felony,African-American,Male,9,-28.0,25,1,0
48,Felony,African-American,Male,5,-1.0,242,1,1
25,Felony,Caucasian,Female,0,-1.0,1,0,0
51,Misdemeanor,African-American,Male,5,-1.0,0,0,0
50,Felony,Caucasian,Male,0,-1.0,0,0,1
57,Felony,Caucasian,Male,2,-11.0,2,0,0
55,Misdemeanor,Caucasian,Male,0,-1.0,0,0,0
59,Felony,African-American,Male,4,-2.0,1,0,1
42,Felony,African-American,Female,0,0.0,0,0,0
20,Felony,Hispanic,Male,2,-21.0,21,1,1
21,Felony,Other,Male,0,-1.0,28,0,0
32,Felony,African-American,Male,21,-1.0,64,1,1
24,Misdemeanor,Hispanic,Female,0,0.0,0,0,0
42,Felony,African-American,Male,1,0.0,1,0,0
29,Felony,African-American,Male,8,-1.0,13,1,1
21,Felony,African-American,Male,1,-1.0,7,1,0
58,Misdemeanor,Caucasian,Male,0,0.0,0,0,0
22,Felony,African-American,Male,1,0.0,0,1,1
46,Misdemeanor,Caucasian,Male,1,-1.0,0,0,1
50,Misdemeanor,Caucasian,Male,0,0.0,14,0,1
46,Felony,African-American,Male,2,-1.0,0,1,0
44,Felony,African-American,Female,11,-1.0,15,1,1
35,Misdemeanor,African-American,Male,4,-1.0,29,1,0
30,Felony,African-American,Male,14,-1.0,2,1,1
42,Felony,African-American,Male,2,-1.0,0,1,0
46,Felony,African-American,Male,5,-1.0,202,0,1
42,Felony,African-American,Male,0,0.0,34,1,1
29,Felony,Caucasian,Male,7,-1.0,1,1,1
32,Felony,African-American,Male,8,-1.0,4,0,0
31,Felony,Other,Male,5,-1.0,3,1,1
33,Misdemeanor,African-American,Female,1,-1.0,1,0,0
25,Felony,Caucasian,Male,4,-1.0,183,0,0
33,Misdemeanor,African-American,Female,0,-1.0,1,0,0
21,Felony,Hispanic,Male,1,-1.0,0,1,0
35,Felony,Caucasian,Male,1,-1.0,49,0,1
56,Felony,African-American,Male,1,-22.0,2,0,0
38,Misdemeanor,Caucasian,Male,0,-1.0,2,0,1
40,Misdemeanor,African-American,Female,4,-1.0,1,0,0
28,Felony,African-American,Male,4,-1.0,1,0,0
51,Misdemeanor,African-American,Male,0,-1.0,1,0,0
35,Misdemeanor,African-American,Male,2,-1.0,1,0,0
61,Felony,African-American,Male,5,-13.0,12,0,0
25,Felony,African-American,Male,0,0.0,1,0,0
25,Felony,African-American,Male,4,-1.0,0,1,1
26,Misdemeanor,African-American,Male,0,0.0,0,1,1
42,Misdemeanor,Caucasian,Male,1,-1.0,2,0,0
25,Felony,African-American,Female,1,-10.0,0,0,0
26,Misdemeanor,African-American,Male,13,-1.0,-1,1,1
31,Felony,African-American,Male,9,-1.0,0,1,0
35,Felony,Caucasian,Male,1,-1.0,1,0,0
34,Felony,Caucasian,Male,0,-1.0,116,0,0
33,Misdemeanor,Caucasian,Female,1,-1.0,0,0,0
30,Felony,African-American,Male,3,-1.0,0,0,1
50,Misdemeanor,African-American,Female,7,-1.0,1,0,0
21,Felony,African-American,Male,0,-1.0,50,1,0
31,Felony,Hispanic,Male,16,0.0,482,1,1
31,Felony,African-American,Male,2,-1.0,3,1,1
23,Misdemeanor,African-American,Female,0,-1.0,0,0,0
25,Felony,African-American,Male,1,0.0,1,1,0
24,Felony,Caucasian,Female,1,-1.0,1,1,0
31,Misdemeanor,African-American,Male,13,-1.0,0,1,1
60,Felony,African-American,Male,0,-1.0,2,0,1
30,Felony,African-American,Male,2,-1.0,0,0,0
32,Misdemeanor,Other,Female,0,-1.0,0,0,0
46,Misdemeanor,Caucasian,Male,0,0.0,-1,0,0
21,Misdemeanor,Caucasian,Male,0,-1.0,0,0,1
35,Felony,African-American,Male,0,-1.0,1,1,1
34,Felony,Hispanic,Male,2,-1.0,9,0,1
41,Felony,Asian,Male,2,-1.0,161,1,1
23,Felony,African-American,Male,1,-1.0,15,1,1
23,Felony,African-American,Male,3,-1.0,1,1,1
28,Misdemeanor,African-American,Male,2,0.0,2,0,1
21,Felony,Hispanic,Male,0,0.0,0,0,1
46,Misdemeanor,Caucasian,Male,2,-1.0,3,0,1
56,Felony,African-American,Male,1,-1.0,0,0,0
40,Felony,Hispanic,Male,8,-1.0,0,1,1
30,Felony,Hispanic,Male,5,-1.0,2,0,1
24,Misdemeanor,African-American,Male,1,-1.0,0,0,1
33,Misdemeanor,Caucasian,Female,0,-1.0,0,0,0
48,Misdemeanor,Caucasian,Male,2,-1.0,4,1,1
33,Felony,African-American,Male,11,-1.0,44,1,1
25,Felony,Hispanic,Male,0,-1.0,0,1,0
30,Felony,African-American,Male,7,-1.0,0,1,1
37,Felony,Hispanic,Male,0,-1.0,2,0,1
43,Felony,Caucasian,Female,7,-21.0,8,1,0
32,Felony,Caucasian,Male,0,0.0,1,0,0
33,Felony,Other,Male,3,-1.0,0,1,0
39,Felony,Other,Male,4,-30.0,0,0,1
49,Felony,Caucasian,Male,4,-11.0,5,0,0
24,Felony,Caucasian,Male,0,-1.0,18,0,0
26,Felony,African-American,Male,1,0.0,-1,1,0
42,Felony,Caucasian,Male,0,-1.0,1,0,0
22,Felony,African-American,Male,1,-1.0,6,1,1
36,Felony,Hispanic,Male,0,0.0,0,0,0
29,Misdemeanor,Caucasian,Male,7,-1.0,27,1,1
39,Misdemeanor,Caucasian,Male,0,0.0,18,0,0
27,Felony,African-American,Male,13,0.0,14,1,1
38,Felony,Caucasian,Male,2,-1.0,7,1,1
20,Felony,Caucasian,Male,0,-1.0,3,0,1
25,Felony,African-American,Male,4,-1.0,86,1,1
53,Misdemeanor,Caucasian,Male,0,-1.0,0,0,0
27,Misdemeanor,African-American,Female,0,-1.0,6,1,1
21,Felony,Other,Male,0,-1.0,6,1,1
50,Misdemeanor,Caucasian,Male,1,-1.0,5,0,1
41,Felony,African-American,Male,4,-1.0,0,1,0
22,Felony,Caucasian,Male,5,-2.0,4,1,1
22,Felony,Caucasian,Male,0,-1.0,2,1,1
25,Felony,African-American,Male,2,-1.0,26,1,0
42,Felony,African-American,Male,1,-1.0,1,0,1
51,Felony,Other,Male,2,-1.0,1,0,0
24,Felony,African-American,Male,0,0.0,-1,0,0
37,Felony,African-American,Male,4,0.0,92,0,0
37,Misdemeanor,Caucasian,Male,0,-3.0,0,0,0
27,Misdemeanor,Other,Female,0,-1.0,0,0,0
21,Felony,Other,Male,0,-1.0,5,1,0
35,Felony,African-American,Male,1,0.0,1,0,1
24,Felony,Caucasian,Female,0,-1.0,36,1,0
49,Misdemeanor,Caucasian,Male,2,-1.0,1,0,0
38,Felony,African-American,Male,9,-5.0,2,1,0
61,Misdemeanor,Other,Male,0,-1.0,0,0,0
30,Misdemeanor,African-American,Female,0,0.0,0,0,0
22,Felony,African-American,Male,3,-1.0,128,1,1
25,Felony,African-American,Male,0,-1.0,1,1,1
30,Misdemeanor,Hispanic,Female,3,-1.0,1,0,1
52,Misdemeanor,Caucasian,Male,0,-1.0,0,0,0
26,Felony,Caucasian,Male,0,-1.0,0,0,0
26,Misdemeanor,Other,Male,0,-1.0,1,0,0
45,Felony,Caucasian,Male,9,-1.0,54,1,1
20,Felony,African-American,Male,0,-1.0,0,1,1
29,Felony,African-American,Male,4,-1.0,80,1,1
43,Felony,Caucasian,Male,1,-1.0,69,1,1
26,Felony,Caucasian,Male,2,-1.0,0,1,0
46,Felony,African-American,Female,4,-1.0,0,0,0
46,Felony,African-American,Female,0,-1.0,1,0,0
29,Felony,African-American,Male,12,-1.0,5,1,1
41,Misdemeanor,Caucasian,Male,0,0.0,-1,0,0
25,Felony,African-American,Female,5,-1.0,0,1,0
23,Felony,African-American,Male,2,-1.0,18,1,0
30,Misdemeanor,Caucasian,Male,0,-1.0,0,0,0
34,Felony,Caucasian,Male,1,-1.0,2,1,0
70,Felony,Caucasian,Male,11,-13.0,12,0,1
52,Felony,Caucasian,Male,2,-1.0,1,0,0
51,Misdemeanor,African-American,Male,4,-26.0,7,0,1
45,Felony,Native American,Female,15,-1.0,1,1,1
55,Felony,African-American,Male,21,0.0,85,1,1
49,Felony,Caucasian,Female,1,-1.0,1,0,0
47,Felony,Caucasian,Female,0,0.0,0,0,0
27,Misdemeanor,African-American,Male,0,0.0,1,0,0
25,Misdemeanor,Caucasian,Male,5,-3.0,0,1,1
21,Felony,African-American,Male,1,0.0,59,1,1
37,Felony,African-American,Male,26,-1.0,1,1,1
21,Felony,African-American,Male,1,-1.0,49,1,1
21,Felony,African-American,Male,0,-2.0,1,1,0
25,Felony,African-American,Male,4,0.0,0,1,1
27,Felony,African-American,Female,3,-1.0,1,1,1
30,Felony,Caucasian,Male,3,-1.0,12,0,1
70,Misdemeanor,Caucasian,Male,0,-1.0,0,0,0
37,Felony,Caucasian,Male,11,-1.0,0,1,1
46,Felony,African-American,Male,5,0.0,2,1,1
40,Misdemeanor,Other,Male,4,-1.0,2,0,1
43,Felony,African-American,Male,18,-1.0,9,0,1
38,Felony,African-American,Male,15,0.0,55,1,0
29,Felony,African-American,Male,0,0.0,0,0,0
37,Misdemeanor,African-American,Male,8,0.0,1,0,1
38,Felony,Hispanic,Male,3,-21.0,0,0,0
27,Felony,Caucasian,Female,0,-4.0,0,0,0
20,Misdemeanor,Other,Female,0,0.0,10,1,1
44,Misdemeanor,Hispanic,Male,0,0.0,0,0,0
31,Misdemeanor,Caucasian,Male,6,-1.0,1,1,0
29,Felony,African-American,Male,3,-1.0,1,0,1
30,Misdemeanor,African-American,Female,0,-1.0,0,0,0
25,Felony,Caucasian,Female,2,-25.0,11,1,1
40,Felony,African-American,Male,3,-1.0,1,0,0
33,Misdemeanor,Caucasian,Male,1,0.0,1,0,0
26,Felony,Caucasian,Male,5,-1.0,1,1,1
31,Misdemeanor,Hispanic,Male,1,0.0,1,0,0
61,Misdemeanor,Caucasian,Male,1,-1.0,0,0,0
30,Felony,Caucasian,Male,2,-1.0,0,0,0
62,Misdemeanor,Caucasian,Male,0,-1.0,2,0,0
27,Misdemeanor,Caucasian,Female,4,8.0,54,1,1
48,Felony,Caucasian,Male,9,-1.0,1,1,0
40,Felony,Caucasian,Female,0,-1.0,1,0,0
24,Felony,Caucasian,Male,0,-1.0,2,0,0
22,Felony,African-American,Male,0,-1.0,1,0,1
30,Misdemeanor,African-American,Male,4,-1.0,15,1,1
63,Misdemeanor,Caucasian,Male,0,0.0,0,0,0
33,Felony,African-American,Male,4,-1.0,1,1,0
43,Misdemeanor,Caucasian,Male,0,-5.0,1,0,1
26,Felony,African-American,Male,3,0.0,33,1,1
51,Felony,African-American,Male,1,-17.0,7,0,0
39,Felony,Caucasian,Male,3,-1.0,1,0,1
30,Misdemeanor,Hispanic,Female,0,-1.0,1,0,1
32,Felony,African-American,Male,14,-1.0,1,1,1
22,Misdemeanor,African-American,Male,0,-2.0,0,1,0
59,Felony,Caucasian,Male,0,-1.0,0,0,0
38,Misdemeanor,African-American,Male,37,-1.0,30,1,1
23,Felony,African-American,Male,2,0.0,237,1,0
42,Misdemeanor,African-American,Male,0,0.0,1,0,1
38,Felony,African-American,Male,2,0.0,192,1,1
34,Felony,Caucasian,Female,2,-1.0,1,0,0
36,Felony,African-American,Female,7,-1.0,2,0,1
36,Misdemeanor,African-American,Male,0,-1.0,1,0,1
31,Felony,African-American,Male,1,-14.0,13,0,0
28,Felony,African-American,Female,3,-1.0,4,0,1
28,Felony,African-American,Male,1,0.0,0,0,1
43,Felony,African-American,Male,0,-1.0,1,0,0
40,Felony,African-American,Male,1,-1.0,1,0,0
31,Felony,African-American,Male,15,-1.0,2,1,1
54,Felony,African-American,Male,6,-1.0,13,1,1
24,Felony,African-American,Male,17,-1.0,130,1,1
41,Felony,Hispanic,Male,0,-3.0,1,0,1
21,Felony,African-American,Male,1,-1.0,242,1,1
29,Felony,Hispanic,Female,1,-1.0,1,0,1
22,Felony,African-American,Male,0,-1.0,0,0,0
52,Felony,Hispanic,Male,9,-1.0,33,1,1
40,Felony,Other,Female,0,-1.0,1,0,0
45,Felony,African-American,Female,1,-1.0,6,0,0
29,Misdemeanor,African-American,Male,1,0.0,0,0,1
46,Felony,African-American,Male,10,-1.0,9,1,1
21,Felony,Caucasian,Male,1,-1.0,12,1,0
35,Felony,Caucasian,Male,6,-10.0,1,1,1
52,Misdemeanor,African-American,Male,1,1.0,70,0,1
48,Misdemeanor,Caucasian,Male,0,0.0,0,0,0
29,Misdemeanor,African-American,Female,9,-1.0,214,1,1
48,Misdemeanor,Caucasian,Male,0,-1.0,1,0,0
31,Felony,African-American,Male,10,-8.0,8,1,1
21,Felony,Caucasian,Male,3,-1.0,127,1,1
32,Felony,Other,Male,0,0.0,22,0,1
47,Misdemeanor,African-American,Male,0,-1.0,3,1,0
21,Felony,African-American,Male,3,-1.0,0,1,1
35,Felony,African-American,Male,13,-1.0,0,1,0
